sequence,depth_model,job_id,n_points,accuracy_median_m,accuracy_mean_m,accuracy_p95_m,precision@2.5cm,precision@5cm,recall@5cm,fscore@2.5cm,fscore@5cm,psnr,ssim,lpips,num_GS,pose_auc_@1.0_deg,pose_auc_@2.5_deg,pose_auc_@5.0_deg,rot_error_median_deg,trans_error_median
office0,bimodal,9807767,3745.0,0.01003809871757819,0.2587533010053986,1.039672895166442,0.6237650200267023,0.6459279038718291,0.087552,0.059266037981538754,0.15420267015159705,38.913665771484375,0.9677910208702087,0.04077891260385513,808376.0,0.509,0.7457,0.848,0.10148531943559647,0.005269263405352831
office0,drop_ambiguous,9807766,3756.0,0.010948507918601118,0.2621100130167544,1.075314872119261,0.6190095846645367,0.6437699680511182,0.087,0.05898870453586622,0.15328486300501462,39.02740478515625,0.9681445360183716,0.040579549968242645,809903.0,0.5076,0.7452,0.8478,0.09833743423223495,0.005147947929799557
office0,none,9807764,3820.0,0.013119854069273917,0.26586018527199234,1.0764975566706378,0.5714659685863874,0.6115183246073298,0.079193,0.053457034954784766,0.14022636941173544,37.050140380859375,0.9582086205482483,0.05012958124279976,839460.0,0.4062,0.6574,0.7911,0.12368112802505493,0.007561927195638418
office0,unimodal,9807765,3752.0,0.009509093826657662,0.260648793248135,1.0699858866072898,0.6231343283582089,0.6441897654584222,0.086805,0.06026746715497091,0.15299396174348914,39.207763671875,0.9687342047691345,0.03890521451830864,818549.0,0.511,0.7471,0.8487,0.10230711847543716,0.005535124335438013
office1,bimodal,9807777,2013.0,1.7939683421406958,1.5273429974371207,2.829726887572709,0.0009935419771485345,0.0029806259314456036,0.006714,0.0012535819924201848,0.0041284568678023725,39.09700393676758,0.9582494497299194,0.06058788672089577,724996.0,0.3027,0.5977,0.7484,0.1706443876028061,0.008354212157428265
office1,drop_ambiguous,9807776,2013.0,1.7966678074837024,1.5301872292263101,2.8371224370922246,0.0009935419771485345,0.0029806259314456036,0.00693,0.0012388482476792778,0.004168402247809408,38.86769104003906,0.9559582471847534,0.06427280604839325,714599.0,0.331,0.6282,0.7727,0.19693699479103088,0.0073876455426216125
office1,none,9807768,2044.0,1.7784291719813736,1.5206209789409537,2.8331764889621827,0.0004892367906066536,0.0009784735812133072,0.00566,0.0006083130057925925,0.0016685041830520066,38.25537872314453,0.9555856585502625,0.061762262135744095,711166.0,0.214,0.4305,0.6271,0.6107466220855713,0.017734374850988388
office1,unimodal,9807769,2004.0,1.8058199115793832,1.530005741284929,2.8393358078276063,0.000998003992015968,0.0029940119760479044,0.006664,0.0012045813742695391,0.004131719003427393,39.114776611328125,0.9579815864562988,0.061921127140522,722156.0,0.3538,0.6454,0.7823,0.19260868430137634,0.006739637348800898
office2,bimodal,9807781,6699.0,0.5945375205186675,0.746887874113392,2.0322963523129314,0.36662188386326316,0.38961038961038963,0.085011,0.06037978911433108,0.13956879970520317,34.11173629760742,0.9474331736564636,0.06186065077781677,1002351.0,0.6916,0.8598,0.9198,0.06990259140729904,0.00398001866415143
office2,drop_ambiguous,9807780,6702.0,0.5924479065753763,0.7463632401413397,2.030254819271994,0.3667561921814384,0.38913757087436585,0.084123,0.0595654305842672,0.1383399416274397,34.1885871887207,0.9475820660591125,0.060813646763563156,993613.0,0.69,0.8591,0.9194,0.06531183421611786,0.0035393715370446444
office2,none,9807778,6879.0,0.590625143514657,0.7426997035519738,2.0331424258553175,0.34132868149440326,0.3706934147405146,0.078784,0.054824532375455745,0.1299496216234879,33.83464431762695,0.9450243711471558,0.06341587007045746,994914.0,0.6287,0.8295,0.9041,0.06613512337207794,0.005461405962705612
office2,unimodal,9807779,6686.0,0.590655319162988,0.7454635498655999,2.031434706469061,0.3685312593478911,0.3894705354472031,0.08435,0.05956339160130632,0.13866785927277395,34.15083694458008,0.9472994208335876,0.06202077865600586,978438.0,0.6859,0.8573,0.9185,0.07297390699386597,0.003873854409903288
office3,bimodal,9807786,6493.0,0.43551166806208086,0.8158329188082225,2.713466019218342,0.25257970121669493,0.2830740797782227,0.091773,0.05170609031313634,0.13860882970654048,34.13882827758789,0.9471743702888489,0.057647302746772766,758774.0,0.8201,0.9268,0.9634,0.050928134471178055,0.0031495816074311733
office3,drop_ambiguous,9807785,6494.0,0.4365191402729688,0.8157267925574923,2.711203394572432,0.2528487834924546,0.28272251308900526,0.091683,0.05172461782032923,0.13846403037007232,34.09526062011719,0.9471808075904846,0.05697488412261009,784560.0,0.8179,0.9259,0.9629,0.05205366387963295,0.0030081523582339287
office3,none,9807782,6792.0,0.4281915003344203,0.8098498129515637,2.706350964675607,0.22982921083627797,0.26899293286219084,0.086931,0.046913667633966954,0.1313978773981295,33.5389289855957,0.943954586982727,0.060791198164224625,787599.0,0.777,0.909,0.9544,0.08274420350790024,0.004482559394091368
office3,unimodal,9807784,6474.0,0.43680798009283267,0.8181755784869654,2.7201231249725555,0.2534754402224282,0.28282360210071056,0.092037,0.05206643458672353,0.1388795500016285,34.401302337646484,0.9488315582275391,0.05542482063174248,744538.0,0.8199,0.9268,0.9633,0.05420868843793869,0.0033681350760161877
office4,bimodal,9807790,,,,,,,,,,,,,,,,,,
office4,drop_ambiguous,9807789,,,,,,,,,,,,,,,,,,
office4,none,9807787,,,,,,,,,,,,,,,,,,
office4,unimodal,9807788,,,,,,,,,,,,,,,,,,
room0,bimodal,9807794,,,,,,,,,,,,,,,,,,
room0,drop_ambiguous,9807793,,,,,,,,,,,,,,,,,,
room0,none,9807791,17244.0,1.9133997201051112,2.1013274550077856,4.087893028302953,0.0023776385989329623,0.0033054975643702156,0.086662,0.004268934012249182,0.006368100429124276,33.38964080810547,0.939049482345581,0.04686398804187775,978280.0,0.8518,0.9405,0.9703,0.030908286571502686,0.0017295076977461576
room0,unimodal,9807792,,,,,,,,,,,,,,,,,,
room1,bimodal,9807806,,,,,,,,,,,,,,,,,,
room1,drop_ambiguous,9807803,,,,,,,,,,,,,,,,,,
room1,none,9807797,27383.0,1.2403642078869084,1.4415749100520958,2.891374977852524,0.0,0.0,0.0,0.0,0.0,36.00522232055664,0.9545456171035767,0.03935277834534645,1157518.0,0.8254,0.9269,0.9629,0.028679262846708298,0.002033516066148877
room1,unimodal,9807800,,,,,,,,,,,,,,,,,,
room2,bimodal,9807826,6983.0,0.0065988284063346935,0.15863072527554403,1.3231340408671537,0.754403551482171,0.7843333810683087,0.111284,0.08300745711330032,0.19491304618204708,36.63200759887695,0.9604313969612122,0.04171711206436157,847901.0,0.8884,0.9551,0.9775,0.02877350151538849,0.0018514904659241438
room2,drop_ambiguous,9807822,6984.0,0.0064056114184562404,0.15875048425457158,1.324987107267059,0.7540091638029782,0.7832187857961054,0.111895,0.08374939546595699,0.19581480573156543,36.283966064453125,0.9592103958129883,0.04399586841464043,855830.0,0.886,0.9541,0.9771,0.029965486377477646,0.001879040151834488
room2,none,9807816,7119.0,0.008108759051613245,0.1629951416761584,1.3175312810434852,0.7243994943109987,0.7602191319005478,0.105729,0.07892120294979042,0.18563977595356523,36.645084381103516,0.959753155708313,0.04324609413743019,852711.0,0.8715,0.9483,0.9741,0.029162660241127014,0.0019230043981224298
room2,unimodal,9807819,6957.0,0.006551462638736056,0.1585763643542218,1.3373340351573426,0.7544918786833406,0.7846773034353888,0.110551,0.08320978289077982,0.19379829757213757,36.527687072753906,0.9598526954650879,0.04252126067876816,848139.0,0.8863,0.9543,0.9771,0.028763895854353905,0.0017484163399785757
