sequence,depth_model,gap_thresh,job_id,n_points,accuracy_median_m,accuracy_mean_m,accuracy_p95_m,precision@2.5cm,precision@5cm,recall@5cm,fscore@2.5cm,fscore@5cm,psnr,ssim,lpips,num_GS,pose_auc_@1.0_deg,pose_auc_@2.5_deg,pose_auc_@5.0_deg,rot_error_median_deg,trans_error_median,num_depth_factors_unimodal,num_depth_factors_bimodal,num_depth_factors_dropped_ambiguous,num_depth_factors_skipped
office0,bimodal,0.05,9869445,3756.0,0.010646998620115065,0.2626951635667282,1.0955064297730805,0.6208732694355698,0.6448349307774228,0.087483,0.05957748775840333,0.15406448996630373,,,,,0.5074,0.7453,0.848,0.10735311359167099,0.0056192888878285885,30060.0,2193.0,0.0,18.0
office0,bimodal,0.10,9869447,3750.0,0.00877467885487539,0.26135860245598824,1.0967834170724722,0.6232,0.6458666666666667,0.088049,0.06076204280624845,0.15497125001192233,,,,,0.5165,0.7495,0.8502,0.11589594185352325,0.004947174806147814,30917.0,1231.0,0.0,18.0
office0,bimodal,0.15,9869448,3749.0,0.01089742147622496,0.26266478157569206,1.0911086496977767,0.6196319018404908,0.6444385169378501,0.087029,0.059388686908643844,0.153348818346364,39.07271957397461,0.9683482050895691,0.04043670371174812,815847.0,0.509,0.7462,0.8483,0.11862175911664963,0.005224252585321665,31282.0,883.0,0.0,18.0
office0,drop_ambiguous,0.05,9869394,3784.0,0.011648374963633499,0.2645249560939466,1.092973135693732,0.6083509513742071,0.6368921775898521,0.08493,0.056636866536807655,0.14987417766330097,39.23373794555664,0.969566822052002,0.03968660160899162,811001.0,0.5278,0.7529,0.8513,0.10597683489322662,0.0059213354252278805,30029.0,0.0,2250.0,19.0
office0,drop_ambiguous,0.10,9869395,3781.0,0.009744588508207258,0.2634396085614504,1.0913595712581095,0.6138587675218197,0.6376619941814334,0.085801,0.058907127039675766,0.15125040866717843,39.22216796875,0.9689285159111023,0.038944557309150696,810816.0,0.5098,0.7461,0.8486,0.10559981316328049,0.004790561739355326,30996.0,0.0,1286.0,18.0
office0,drop_ambiguous,0.15,9869444,3775.0,0.010258642322582825,0.2630531762877575,1.0861403339777542,0.6137748344370861,0.6373509933774835,0.085533,0.05810318154197762,0.15082514764741592,39.251399993896484,0.9687932729721069,0.03953561186790466,822358.0,0.5097,0.7466,0.8486,0.1051991805434227,0.005112173035740852,31299.0,0.0,939.0,18.0
office0,none,0.0,9869392,3816.0,0.013352120320137602,0.26532477006329575,1.0691176380614937,0.5736373165618449,0.6129454926624738,0.079668,0.053824516056060784,0.14100834600180384,37.578487396240234,0.9599477052688599,0.04760052636265755,838975.0,0.4083,0.6593,0.7922,0.13144680857658386,0.007948391139507294,0.0,0.0,0.0,0.0
office0,unimodal,0.0,9869393,3754.0,0.01086797592356336,0.2618954926757871,1.0769238318197256,0.6201385189131593,0.6449120937666489,0.086139,0.058547343875028246,0.1519786600926626,39.15904235839844,0.9681687951087952,0.04020444676280022,813832.0,0.5111,0.7473,0.8489,0.11108778417110443,0.004822907969355583,32266.0,0.0,0.0,18.0
office1,bimodal,0.05,9869455,2033.0,1.7986230565369907,1.5391502421101537,2.854398638526311,0.0004918839153959665,0.000983767830791933,0.005183,0.0005953692276229212,0.001653660006960176,,,,,0.2519,0.4151,0.6154,0.17442789673805237,0.009084764868021011,22411.0,2075.0,0.0,7.0
office1,bimodal,0.10,9869456,2028.0,1.7881120631501144,1.5248210800176123,2.8253827850373123,0.0009861932938856016,0.0014792899408284023,0.006004,0.001162645577020343,0.0023737305048882086,39.121639251708984,0.9592147469520569,0.05966450646519661,703257.0,0.2837,0.5294,0.7053,0.28242242336273193,0.012312744744122028,23456.0,1071.0,0.0,7.0
office1,bimodal,0.15,9869457,2024.0,1.7945261012813805,1.5297662625563178,2.8370242825996357,0.0009881422924901185,0.0014822134387351778,0.006922,0.0012278200853490235,0.0024416042019201737,38.472434997558594,0.9563418626785278,0.06262217462062836,720999.0,0.3136,0.6068,0.7538,0.13997361063957214,0.007929044775664806,23926.0,559.0,0.0,7.0
office1,drop_ambiguous,0.05,9869452,2032.0,1.7860347408321116,1.5256163186632652,2.82967133576423,0.000984251968503937,0.002952755905511811,0.0067,0.0012304780643477792,0.004099029284607228,38.88047409057617,0.9578751921653748,0.06132868677377701,696891.0,0.3086,0.5951,0.7469,0.15128324925899506,0.008671626448631287,22437.0,0.0,2089.0,7.0
office1,drop_ambiguous,0.10,9869453,2032.0,1.7892889818002566,1.5281599584739216,2.8346009388136504,0.000984251968503937,0.0024606299212598425,0.006585,0.001195435666396476,0.003582558245814092,39.181396484375,0.9578018188476562,0.06208496168255806,708333.0,0.3436,0.6054,0.7593,0.23663754761219025,0.00853633601218462,23534.0,0.0,1068.0,7.0
office1,drop_ambiguous,0.15,9869454,2025.0,1.792162555433301,1.527459269264816,2.83129986849613,0.0009876543209876543,0.0014814814814814814,0.006794,0.0012450786491931757,0.0024325316195096627,38.98189163208008,0.9572334885597229,0.06272628903388977,725722.0,0.3078,0.6005,0.7504,0.1479126363992691,0.00864381156861782,23922.0,0.0,556.0,7.0
office1,none,0.0,9869449,2042.0,1.7641853001168137,1.5078199469815303,2.7963410243671913,0.0004897159647404506,0.0019588638589618022,0.005343,0.0006055039006515467,0.0028667227438340715,,,,,0.2144,0.4445,0.6427,0.4267541468143463,0.020983384922146797,0.0,0.0,0.0,0.0
office1,unimodal,0.0,9869450,2003.0,1.810208499236206,1.538411140759259,2.852719986531645,0.000998502246630055,0.000998502246630055,0.006558,0.0011279648242080746,0.0017331240088812696,38.434017181396484,0.9547134637832642,0.06316543370485306,755120.0,0.246,0.4756,0.6801,0.18800830841064453,0.00526854395866394,24317.0,0.0,0.0,7.0
office2,bimodal,0.05,9869468,6772.0,0.5875727546474949,0.7412784206486657,2.0304834953373687,0.3673951565268754,0.388806851742469,0.086483,0.0609070811147944,0.14149337645636673,34.48598861694336,0.9485950469970703,0.0604051873087883,1014403.0,0.6901,0.8593,0.9195,0.0667576789855957,0.00406244583427906,55504.0,4674.0,0.0,416.0
office2,bimodal,0.10,9869470,6765.0,0.5886477614851608,0.7417347919928691,2.030482679443963,0.36614929785661493,0.38802660753880264,0.085881,0.06072174230331384,0.1406354848579273,34.36872100830078,0.9490084052085876,0.05903760716319084,1029840.0,0.6839,0.8567,0.9182,0.07449378818273544,0.004069329239428043,56785.0,3362.0,0.0,416.0
office2,bimodal,0.15,9869471,6746.0,0.5894069978723537,0.7430323010329785,2.029748947378065,0.36495701156240734,0.3873406463089238,0.084853,0.059484230793489974,0.13920990304790543,34.24495315551758,0.9475616812705994,0.06086455285549164,1037991.0,0.6828,0.8562,0.918,0.06861653923988342,0.004294170532375574,57523.0,2559.0,0.0,416.0
office2,drop_ambiguous,0.05,9869463,6800.0,0.5863332534757054,0.739832840701889,2.0271103765441345,0.36367647058823527,0.3861764705882353,0.084968,0.05876322353271419,0.139289090295271,34.446250915527344,0.9475565552711487,0.06156277656555176,1008355.0,0.6842,0.8567,0.9182,0.06612291932106018,0.0034143226221203804,55501.0,0.0,4735.0,424.0
office2,drop_ambiguous,0.10,9869464,6783.0,0.5897579374659366,0.7431525283224,2.0332903557939925,0.36296623912722986,0.38625976706472065,0.084923,0.059317704112148525,0.1392340318504544,34.3619499206543,0.9482207894325256,0.060261424630880356,991622.0,0.6785,0.8543,0.917,0.06855669617652893,0.003856613300740719,56778.0,0.0,3417.0,424.0
