seq,mode,n_points,accuracy_median_m,accuracy_mean_m,accuracy_p95_m,fscore@10cm,fscore@1cm,fscore@20cm,fscore@2cm,fscore@50cm,fscore@5cm,precision@10cm,precision@1cm,precision@20cm,precision@2cm,precision@50cm,precision@5cm,amb_n_points,amb_accuracy_median_m,n_ambiguous_measurements,mode2_selected_frac,mode_correct_frac,mode2_correct_frac,primary_correct_frac,bimodal_over_primary,oracle_within_tau_frac,selection_cost_mean_m,dist_selected_median_m,pose_auc_@1.0_deg,pose_auc_@2.5_deg,pose_auc_@5.0_deg,rot_err_median_deg,trans_err_median,psnr,ssim,lpips,num_GS
courtyard,none,1270,0.11626008206090813,0.12446534085743587,0.26905979495344784,0.010394721398469219,1.2632261519691342e-05,0.06057698030635327,9.454183726589526e-05,0.2309467019181685,0.0015188790893671499,0.40393700787401576,0.026771653543307086,0.8519685039370078,0.06929133858267716,0.9992125984251968,0.2141732283464567,,,,,,,,,,,,0.1113,0.3203,0.502,0.5137513875961304,0.166142076253891,16.014801025390625,0.6281900405883789,0.4048541486263275,3896969.0
courtyard,unimodal,1270,0.09596914494654483,0.09955026083640924,0.21113535690447088,0.014226893742006719,2.352737551605819e-05,0.07709736956421699,0.00017706993829174565,0.2393147676142897,0.002414235888693122,0.5291338582677165,0.048031496062992125,0.9385826771653544,0.1125984251968504,0.9992125984251968,0.2637795275590551,174.0,0.038437351111618175,366.0,0.1448087431693989,0.6120218579234973,0.5094339622641509,0.6092896174863388,0.002732240437158473,0.3551912568306011,0.03342743517868794,0.09401890095666753,0.1221,0.3261,0.5065,0.46193426847457886,0.1440754383802414,16.616636276245117,0.6355963945388794,0.3988785743713379,3983029.0
courtyard,drop_ambiguous,1270,0.12601189054849496,0.12375046763518745,0.24290419050023293,0.009834083522964183,1.4685356388137023e-05,0.06063567476843484,0.00011142711764514539,0.2346174988253467,0.0015976278938024553,0.38976377952755903,0.03464566929133858,0.862992125984252,0.07874015748031496,0.9992125984251968,0.2047244094488189,174.0,0.048769404952481006,362.0,0.143646408839779,0.6049723756906077,0.5384615384615384,0.5939226519337016,0.011049723756906049,0.3149171270718232,0.03827992113485876,0.10178297962881672,0.1248,0.3277,0.5074,0.46100252866744995,0.14188194274902344,16.690521240234375,0.6494050025939941,0.38764339685440063,3941824.0
courtyard,bimodal,1270,0.1245098353572458,0.12278026252199853,0.24344262673949157,0.00998049140868393,1.373775269023095e-05,0.061364664458942696,0.0001074848175761319,0.23446086439291527,0.0016135984541447443,0.3921259842519685,0.030708661417322834,0.8661417322834646,0.07952755905511812,0.9992125984251968,0.2094488188976378,176.0,0.04785843262162304,367.0,0.1444141689373297,0.5994550408719346,0.5283018867924528,0.5912806539509536,0.008174386920980936,0.3242506811989101,0.03881091505264891,0.10273303761150403,0.1244,0.3275,0.5072,0.4570751488208771,0.1420350819826126,16.884897232055664,0.633593738079071,0.3898509442806244,4046881.0
delivery_area,none,2230,0.09928694797326773,0.14068268687226684,0.3290797037543051,0.027107313069085284,7.026831263626764e-05,0.10151455794656801,0.00048057940055925896,0.33622460623364536,0.005282815947485556,0.5022421524663677,0.06457399103139014,0.7914798206278026,0.13004484304932734,0.9802690582959641,0.2946188340807175,,,,,,,,,,,,0.0967,0.2699,0.4481,0.5742919445037842,0.09148555248975754,17.745548248291016,0.785571813583374,0.31067413091659546,3279498.0
delivery_area,unimodal,1810,0.20317318146486374,1.6710447414338563,7.320521480593142,0.01358041588583048,2.1143410822144076e-05,0.05744945588958547,0.00015650273620845757,0.20294125500488555,0.0021334731296321465,0.3370165745856354,0.024861878453038673,0.4972375690607735,0.05414364640883978,0.6602209944751382,0.16132596685082873,,,,,,,,,,,,0.0159,0.0641,0.143,5.011273384094238,0.49638351798057556,13.908792495727539,0.7342196106910706,0.3947194814682007,2385995.0
delivery_area,drop_ambiguous,2285,0.10965923915547274,0.14819653100707014,0.35012154074554136,0.027108003974036073,5.637687588601391e-05,0.09775760292936213,0.0004355183657715564,0.33422561090763,0.005525433924689677,0.4722100656455142,0.053829321663019694,0.737855579868709,0.1150984682713348,0.9803063457330415,0.3024070021881838,,,,,,,,,,,,0.0993,0.2794,0.4548,0.46576666831970215,0.09408128261566162,14.800019264221191,0.7412806749343872,0.34048742055892944,2958007.0
delivery_area,bimodal,2028,0.1198229338012213,0.1376686221156932,0.3403023983448827,0.021028002464382994,2.81899908799933e-05,0.09361063539687182,0.00021822937335184023,0.3307016319994217,0.00321966636755409,0.4289940828402367,0.03007889546351085,0.7928994082840237,0.06903353057199212,0.98767258382643,0.21844181459566075,,,,,,,,,,,,0.0412,0.1978,0.4106,1.063992977142334,0.10341198742389679,15.793407440185547,0.7744186520576477,0.33551040291786194,3020627.0
electro,none,1240,0.05161253490165879,0.23495033134731794,1.8259590121331508,0.029491368767428396,5.9556059067736864e-05,0.0926468779047865,0.0004437439470093984,0.23073846308953963,0.005947100831914223,0.757258064516129,0.09274193548387097,0.867741935483871,0.18870967741935485,0.8943548387096775,0.49032258064516127,,,,,,,,,,,,0.0586,0.188,0.2824,0.7112638354301453,0.1080910786986351,15.047150611877441,0.6992388367652893,0.38102322816848755,2650127.0
electro,unimodal,1242,0.05173171691805707,0.23060298835420695,1.8125540513208809,0.0294293378377291,4.838902977595439e-05,0.09192108143477715,0.0003772340229919145,0.23043736625243355,0.005768618506156359,0.7584541062801933,0.07407407407407407,0.8623188405797102,0.17713365539452497,0.893719806763285,0.4855072463768116,,,,,,,,,,,,0.0602,0.1834,0.2787,0.76597660779953,0.06405723839998245,14.486307144165039,0.7014114856719971,0.40203723311424255,2643912.0
electro,drop_ambiguous,1247,0.03852246768882851,0.22254392584258026,1.7076964567459965,0.031879515918755166,0.00010089093834334471,0.0920374876812695,0.0007418237178266992,0.23192028334860235,0.007888242841378621,0.7546110665597434,0.1491579791499599,0.8572574178027266,0.30392943063352046,0.896551724137931,0.5878107457898958,,,,,,,,,,,,0.0659,0.1984,0.2902,0.6924417018890381,0.0689016655087471,13.497888565063477,0.6862901449203491,0.4027322232723236,2456942.0
electro,bimodal,1247,0.06168425115143257,0.24272121278210676,1.7713170043770765,0.027006380834015995,4.3883208106743555e-05,0.09030776279940243,0.00034315830352252654,0.22968967808806254,0.004685311967101015,0.7289494787489976,0.0673616680032077,0.8580593424218124,0.15557337610264635,0.8901363271852446,0.41780272654370487,,,,,,,,,,,,0.0662,0.1976,0.2896,0.7066444754600525,0.06915093958377838,13.82060432434082,0.6928688287734985,0.4077495038509369,2372479.0
facade,none,2874,0.19791834448355883,0.3847951325883198,1.6530914320870183,0.007003266053665476,6.899413079327498e-06,0.05343818090569518,4.938776348023277e-05,0.310060447567959,0.0008182545265674363,0.23208072372999305,0.014265831593597773,0.5062630480167014,0.0337508698677801,0.7978427279053584,0.1057759220598469,,,,,,,,,,,,0.1426,0.2483,0.347,1.9982795715332031,0.6756258010864258,14.384580612182617,0.4734412133693695,0.5657296180725098,3945828.0
facade,unimodal,2861,0.14085574785703706,0.1963076293847245,0.5648390039272632,0.011144399304127904,9.334570550795032e-06,0.07809615564560918,8.610241590886038e-05,0.3536472808991235,0.0014408512053619617,0.3575672841663754,0.019923103809856693,0.6567633694512408,0.06221600838867529,0.9318420132820692,0.1754631247815449,,,,,,,,,,,,0.1327,0.2629,0.4089,1.1326467990875244,0.35225316882133484,14.852396965026855,0.49000829458236694,0.5590014457702637,4114978.0
facade,drop_ambiguous,2858,0.1643259652368223,0.22740014400114147,0.6828854013998398,0.008929453599940913,6.392151892295691e-06,0.06609157555535261,4.98961077376495e-05,0.3364074481741158,0.0009899191666701839,0.28761371588523443,0.01364590622813156,0.5937718684394682,0.035339398180545836,0.9034289713086074,0.12491252624212736,,,,,,,,,,,,0.1342,0.287,0.4305,0.9005707502365112,0.29649484157562256,16.4669246673584,0.5146009922027588,0.5116695761680603,4249200.0
