seq,mode,n_points,accuracy_median_m,accuracy_mean_m,accuracy_p95_m,fscore@10cm,fscore@1cm,fscore@20cm,fscore@2cm,fscore@50cm,fscore@5cm,precision@10cm,precision@1cm,precision@20cm,precision@2cm,precision@50cm,precision@5cm,amb_n_points,amb_accuracy_median_m,n_ambiguous_measurements,mode2_selected_frac,mode_correct_frac,mode2_correct_frac,primary_correct_frac,bimodal_over_primary,oracle_within_tau_frac,selection_cost_mean_m,dist_selected_median_m,pose_auc_@1.0_deg,pose_auc_@2.5_deg,pose_auc_@5.0_deg,rot_err_median_deg,trans_err_median,psnr,ssim,lpips,num_GS
delivery_area,none,2230,0.08813188205948047,0.13059956876635664,0.3126716742444958,0.027536048862955433,5.859046590670369e-05,0.1073364048874626,0.0004349510366185601,0.3381282204816108,0.005110041915262451,0.5475336322869955,0.053811659192825115,0.8457399103139014,0.12017937219730941,0.9798206278026906,0.2986547085201794,,,,,,,,,,,,0.0967,0.2699,0.4481,0.5742919445037842,0.09148555248975754,17.114044189453125,0.7782229781150818,0.31542500853538513,3221259
delivery_area,bimodal,2311,0.09425270701512242,0.1359895066135837,0.32558738696067796,0.02830079253752351,7.187861992777729e-05,0.10595479784912952,0.0004949747053935872,0.3382899977947344,0.005443068623709555,0.5244482907832108,0.06533967979229771,0.8070099524015578,0.12289052358286456,0.9809606231068801,0.3007356122890524,,,,,,,,,,,,0.0971,0.2797,0.4548,0.4708441197872162,0.09702897071838379,15.34032154083252,0.7567264437675476,0.34604281187057495,2755452
delivery_area,bimodal_mda,2136,0.10287244976504178,0.14911153003066377,0.36994624303540874,0.023253011963902375,4.0070396717420634e-05,0.09668399196628391,0.0003392939157122412,0.32855947168277716,0.004326072131423873,0.4887640449438202,0.04353932584269663,0.797752808988764,0.10393258426966293,0.9747191011235955,0.26685393258426965,,,,,,,,,,,,0.0716,0.2288,0.4135,0.7311040163040161,0.08366742730140686,15.394268035888672,0.7666395902633667,0.3361319303512573,2608475
kicker,none,1005,0.02162049887968518,0.029282056923616736,0.08558424124238331,0.09997871831472627,0.0006763755811188044,0.19981808744629231,0.00436346725170132,0.4446273909345813,0.0372052588566118,0.9611940298507463,0.23781094527363184,0.9980099502487563,0.4537313432835821,0.9990049751243781,0.8646766169154229,,,,,,,,,,,,0.3275,0.6599,0.8125,0.242000013589859,0.024296430870890617,19.615243911743164,0.7556565403938293,0.34166717529296875,1418224
kicker,bimodal,1005,0.021017407063302084,0.028488791828490775,0.0757290206568936,0.10731189575862261,0.0006711582079945017,0.20958380093883114,0.004459280766931618,0.44742994618055815,0.03840884256594923,0.9731343283582089,0.22686567164179106,0.9970149253731343,0.48258706467661694,0.9990049751243781,0.8746268656716418,341.0,0.01850502258156833,841.0,0.06777645659928656,0.7895362663495838,0.5087719298245614,0.7883472057074911,0.0011890606420927874,0.8941736028537456,0.011796896205724484,0.018777384013417775,0.3441,0.679,0.826,0.29860302805900574,0.021227221935987473,19.17669677734375,0.7531656622886658,0.34928345680236816,1399483
kicker,bimodal_mda,1004,0.0182597157484853,0.02681688529719091,0.08047227049012301,0.10296946164328752,0.0007715753704856368,0.20290556759046982,0.005158302021806278,0.4450917465367382,0.039718469801884176,0.9701195219123506,0.25,0.99800796812749,0.5358565737051793,0.999003984063745,0.8754980079681275,343.0,0.017122572605257808,845.0,0.06745562130177515,0.7917159763313609,0.49122807017543857,0.7928994082840237,-0.0011834319526627946,0.8591715976331361,0.011554102167699825,0.023678949131914796,0.3653,0.6885,0.8328,0.22784537076950073,0.016654932871460915,19.736793518066406,0.7609178423881531,0.34197208285331726,1391058
office,none,1563,0.018837597918764833,0.04600063603318965,0.17184872145171964,0.16495452179515482,0.002755949230461098,0.28937240130711006,0.015072485087261375,0.531321384381788,0.07565732848676118,0.8746001279590531,0.30518234165067176,0.9673704414587332,0.5156749840051184,0.9987204094689699,0.7421625079974408,,,,,,,,,,,,0.1137,0.2545,0.3463,0.37743261456489563,0.014955766499042511,17.325824737548828,0.8082624077796936,0.22888779640197754,1491971
office,bimodal,1563,0.01872772351618707,0.06360108118344844,0.27859861577598183,0.15049606236723911,0.00284596121706734,0.25685317834038607,0.015290989949260408,0.5020208930522257,0.07376397869519742,0.81829814459373,0.32245681381957775,0.9155470249520153,0.5195137555982086,0.982085732565579,0.7095329494561741,635.0,0.013610959010467449,1697.0,0.15085444902769593,0.6929876252209782,0.36328125,0.7342368886269888,-0.04124926340601054,0.9670005892751915,0.011451873324606983,0.011262762953783189,0.102,0.2453,0.3402,0.3722207248210907,0.012624409981071949,16.109989166259766,0.7818395495414734,0.26086241006851196,1197971
office,bimodal_mda,1561,0.018469505024514995,0.05815442678563547,0.23409933437308153,0.152410663909469,0.0028613604520992286,0.2641052208520849,0.015268452208262919,0.5081493238442258,0.07369491465229114,0.8276745675848814,0.31902626521460603,0.934657270980141,0.5201793721973094,0.9865470852017937,0.7104420243433697,635.0,0.013966959348967746,1684.0,0.14370546318289787,0.7054631828978623,0.3760330578512397,0.7410926365795725,-0.03562945368171022,0.9679334916864608,0.011292240024833096,0.010643600287647787,0.1174,0.2643,0.3638,0.32915621995925903,0.013287903741002083,16.56498146057129,0.7955107688903809,0.23439526557922363,1233766
pipes,none,1731,0.04540655364307643,0.05885359109954894,0.15431852977040972,0.15694992050538964,0.0002674871373850642,0.30214948190180196,0.0023118318937943687,0.5175334233138374,0.03946855706764112,0.8723281340265743,0.046216060080878106,0.97631426920855,0.1340265742345465,1.0,0.5580589254766031,,,,,,,,,,,,0.2022,0.538,0.7375,0.33288079500198364,0.019359517842531204,15.246186256408691,0.7961584329605103,0.2779824733734131,1843183
pipes,bimodal,1719,0.034885107147943614,0.05145442530662877,0.15436575943844996,0.15162371703724742,0.0008678198038685581,0.2983907876884798,0.0058966065373225575,0.5152597888445528,0.048814506621816446,0.8650378126817917,0.12972658522396743,0.9825479930191972,0.28272251308900526,1.0,0.6527050610820244,251.0,0.05626999461223508,418.0,0.17703349282296652,0.5478468899521531,0.3108108108108108,0.6148325358851675,-0.06698564593301437,0.7559808612440191,0.028191818223476234,0.05033336716104421,0.1442,0.5089,0.7116,0.5289997458457947,0.01475619338452816,16.40478515625,0.792877197265625,0.2945505380630493,1871731
pipes,bimodal_mda,1712,0.03293191499018226,0.05146768161935473,0.1620611389115751,0.14960520951816747,0.0009066015061627954,0.2938371942166969,0.006429033391538482,0.5125009822777586,0.05030124833013059,0.8592289719626168,0.13317757009345793,0.9772196261682243,0.32242990654205606,1.0,0.6582943925233645,250.0,0.06027330030690256,412.0,0.17475728155339806,0.5048543689320388,0.3055555555555556,0.5728155339805825,-0.06796116504854366,0.7864077669902912,0.029338455230520515,0.04911630572593357,0.1163,0.4407,0.6759,0.5787541270256042,0.02011287398636341,15.074235916137695,0.7799351811408997,0.32095253467559814,1839594
relief,none,1443,0.02375624882655302,0.0457394907783584,0.1003318129400294,0.054936035593124835,0.000261797251718469,0.09146656986517729,0.0019108160630901395,0.15347073848422957,0.018204885858392257,0.9494109494109494,0.19265419265419265,0.9743589743589743,0.4275814275814276,0.9785169785169785,0.83991683991684,,,,,,,,,,,,0.0508,0.1841,0.2792,1.0014688968658447,0.057482052594423294,22.125492095947266,0.7993675470352173,0.2896330654621124,2187961
